year,Average Total Eggs Per Nest,Max Eggs Laid,Total Eggs Laid in Year,Average Hatch Success,Nest Count,Pct. Change in Average Eggs,Change in Total Eggs Laid,Change in Average Hatch Success
1980.0,,,0.0,,57,0.0,0.0,0.0
1981.0,,,0.0,,55,0.0,0.0,0.0
1982.0,,,0.0,,96,0.0,0.0,0.0
1983.0,114.0,157.0,5358.0,62.212765957446805,148,0.0,inf,0.0
1984.0,,,0.0,,126,0.0,-100.0,0.0
1985.0,,,0.0,,132,0.0,0.0,0.0
1986.0,107.55757575757576,155.0,17747.0,76.03636363636363,195,-5.6512493354598625,inf,22.219873150105695
1987.0,124.04166666666667,182.0,2977.0,75.20833333333333,95,15.325829717698758,-83.22533385924382,-1.0889925075721396
1988.0,136.39285714285714,216.0,3819.0,78.85714285714286,112,9.957291616680264,28.283506886126975,4.851602690937873
1989.0,124.66666666666667,148.0,1496.0,74.58333333333333,107,-8.597364056908429,-60.82744173867505,-5.419685990338174
1990.0,113.44444444444444,164.0,2042.0,74.38888888888889,186,-9.001782531194301,36.49732620320856,-0.26070763500930516
1991.0,,,0.0,,183,0.0,-100.0,0.0
1992.0,,,0.0,,130,0.0,0.0,0.0
1993.0,111.16666666666667,119.0,667.0,63.666666666666664,70,-2.007835455435847,inf,-14.413741598207618
1994.0,124.4054054054054,161.0,4603.0,80.16216216216216,122,11.908910409660024,590.1049475262369,25.90915522852697
1995.0,119.42105263157895,165.0,4538.0,70.28947368421052,87,-4.00654035697543,-1.4121225287855754,-12.31589594350002
1996.0,124.05555555555556,164.0,2233.0,74.22222222222223,99,3.880808971157146,-50.79330101366241,5.595074670327405
1997.0,122.15094339622641,161.0,6474.0,83.52830188679245,75,-1.5352896940405092,189.92386923421404,12.538131284600595
1998.0,135.66666666666666,147.0,407.0,52.0,90,11.06477190814541,-93.71331479765215,-37.74565168285521
1999.0,129.42857142857142,155.0,906.0,58.857142857142854,108,-4.598104598104602,122.6044226044226,13.186813186813184
2000.0,,,0.0,,51,0.0,-100.0,0.0
2001.0,124.0,136.0,496.0,75.0,77,-4.194260485651203,inf,27.427184466019416
2002.0,111.5,123.0,223.0,64.5,78,-10.080645161290324,-55.04032258064516,-14.000000000000002
2003.0,132.33333333333334,146.0,397.0,87.33333333333333,77,18.68460388639761,78.02690582959642,35.40051679586562
2004.0,,,0.0,,42,0.0,-100.0,0.0
2005.0,,,0.0,,59,0.0,0.0,0.0
2006.0,,,0.0,,62,0.0,0.0,0.0
2007.0,,,0.0,,50,0.0,0.0,0.0
2008.0,,,0.0,,104,0.0,0.0,0.0
2009.0,,,0.0,,37,0.0,0.0,0.0
2010.0,101.1,147.0,3033.0,80.0,75,-23.602015113350138,inf,-8.396946564885488
2011.0,112.06666666666666,167.0,3362.0,50.9,99,10.847345862182657,10.847345862182657,-36.375
2012.0,110.97142857142858,179.0,7768.0,83.47142857142858,76,-0.9773094246621872,131.0529446757882,63.99101880437834
2013.0,114.97478991596638,176.0,13682.0,81.92436974789916,120,3.6075604289089513,76.13285272914521,-1.8533992409217714
2014.0,113.26923076923077,176.0,2945.0,70.3076923076923,33,-1.4834201027739913,-78.47536909808508,-14.179758081696747
2015.0,116.03157894736842,165.0,11023.0,77.45263157894736,96,2.438745420427124,274.295415959253,10.162386272025792
2016.0,112.13793103448276,169.0,9756.0,75.97701149425288,102,-3.3556795039838216,-11.49414859838519,-1.9051903784448987
2017.0,114.13157894736842,154.0,4337.0,78.1842105263158,40,1.777853304848831,-55.54530545305454,2.9050879847121625
